,fname,val
0,Chorale_003206b_.txt,True
1,Chorale_004008b_.txt,True
2,Chorale_001805b_.txt,True
3,Chorale_001007b_.txt,True
4,Chorale_000907b_.txt,True
5,Chorale_014806b_.txt,True
6,Chorale_015309b_.txt,True
7,Chorale_012606b_.txt,True
8,Chorale_003608b2.txt,True
9,Chorale_014406b_.txt,True
10,Chorale_001606b_.txt,True
11,Chorale_015105b_.txt,True
12,Chorale_015403b_.txt,True
13,Chorale_000106b_.txt,True
14,Chorale_015301b_.txt,True
15,Chorale_012206b_.txt,True
16,Chorale_003306b_.txt,True
17,Chorale_012606bv.txt,True
18,Chorale_001707b_.txt,True
19,Chorale_014608b_.txt,True
20,Chorale_000606b_.txt,True
21,Chorale_012406b_.txt,True
22,Chorale_000206b_.txt,True
23,Chorale_001907ch.txt,True
24,Chorale_014806bv.txt,True
25,Chorale_001306b_.txt,True
26,Chorale_012306b_.txt,True
27,Chorale_002506b_.txt,True
28,Chorale_014403b_.txt,True
29,Chorale_015305b_.txt,True
30,Chorale_003109b_.txt,True
31,Chorale_002908ch.txt,True
32,Chorale_003907bv.txt,True
33,Chorale_015505b_.txt,True
34,Chorale_003806b_.txt,False
35,Chorale_014007b_.txt,False
36,Chorale_014505b_.txt,False
37,Chorale_000306b_.txt,False
38,Chorale_001207b_.txt,False
39,Chorale_003907b_.txt,False
40,Chorale_004006b_.txt,False
41,Chorale_012506b_.txt,False
42,Chorale_005708b_.txt,False
43,Chorale_000408b_.txt,False
44,Chorale_001106b_.txt,False
45,Chorale_000507b_.txt,False
46,Chorale_014500ba.txt,False
47,Chorale_013906b_.txt,False
48,Chorale_015408b_.txt,False
49,Chorale_014505bv.txt,False
50,Chorale_013705ch.txt,False
51,Chorale_002806b_.txt,False
